,City,Country,Lat,Lng,Hotel Name
0,mataura,NZ,-46.19,168.86,Ellie's Villa
1,cuxhaven,DE,53.87,8.69,Hotel Deichgraf Cuxhaven
2,sao joao da barra,BR,-21.64,-41.05,Pousada Portobello
3,punta arenas,CL,-53.15,-70.92,Hotel Plaza
4,alice springs,AU,-23.7,133.88,DoubleTree by Hilton Hotel Alice Springs
5,albany,US,42.6,-73.97,
6,bethel,US,41.37,-73.41,Best Western Danbury/Bethel
7,saskylakh,RU,71.92,114.08,
8,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
9,touros,BR,-5.2,-35.46,Pousada Amigos do Vento
10,busselton,AU,-33.65,115.33,The Sebel Busselton
11,kodiak,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
12,hohhot,CN,40.81,111.65,"Shangri-La Hotel, Hohhot"
13,kaeo,NZ,-35.1,173.78,Pacific Harbour Lodge
14,butaritari,KI,3.07,172.79,
15,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
16,cabatuan,PH,10.88,122.49,
17,kedougou,SN,12.56,-12.17,Relais de Kédougou
18,tuktoyaktuk,CA,69.45,-133.04,Smitty's Bed and Breakfast
19,verin,ES,41.94,-7.44,Parador Castelo de Monterrei
20,midland,US,32.0,-102.08,Holiday Inn Express & Suites Midland South I-20
21,narsaq,GL,60.92,-46.05,Hotel Narsaq
22,dikson,RU,73.51,80.55,
23,ternate,ID,0.8,127.4,Hotel Emerald
24,rikitea,PF,-23.12,-134.97,Pension Maro'i
25,san patricio,MX,19.22,-104.7,Grand Isla Navidad Resort
26,medicine hat,CA,50.05,-110.67,Baymont by Wyndham Medicine Hat
27,souillac,MU,-20.52,57.52,Shanti Maurice Resort & Spa
28,atambua,ID,-9.11,124.89,Hotel Timor
29,bambous virieux,MU,-20.34,57.76,Laguna Beach Hotel & Spa
30,turukhansk,RU,65.82,87.98,"ООО ""Туруханская пушнина"""
31,bubaque,GW,11.28,-15.83,Ponta Anchaca
32,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
33,jamestown,US,42.1,-79.24,DoubleTree by Hilton Jamestown
34,hermanus,ZA,-34.42,19.23,Misty Waves Boutique Hotel
35,hobart,AU,-42.88,147.33,The Brunswick Hotel
36,henties bay,,-22.12,14.28,Desert Rendezvous
37,castro,BR,-24.79,-50.01,Hotel Buganville Express
38,new norfolk,AU,-42.78,147.06,The Woodbridge
39,yellowknife,CA,62.46,-114.35,The Explorer Hotel
40,pevek,RU,69.7,170.31,Munitsipal'naya Gostinitsa
41,bluff,NZ,-46.6,168.33,Foveaux Hotel
42,poum,NC,-20.23,164.02,
43,galle,LK,6.04,80.22,Calamander Unawatuna Beach Resort
44,zaysan,KZ,47.47,84.87,Hotel
45,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
46,dukat,RU,62.55,155.55,
47,uhlove,UA,44.82,33.6,Apartments In Kacha
48,clyde river,CA,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
49,north battleford,CA,52.78,-108.28,Holiday Inn Express & Suites North Battleford
50,iquitos,PE,-3.75,-73.25,DoubleTree by Hilton Iquitos
51,port alfred,ZA,-33.59,26.89,The Halyards Hotel
52,kahului,US,20.89,-156.47,Maui Seaside Hotel
53,airai,TL,-8.93,125.41,
54,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
55,aykhal,RU,66.0,111.5,
56,cherskiy,RU,68.75,161.3,
57,srandakan,ID,-7.94,110.25,
58,aguimes,ES,27.91,-15.45,Hotel Villa de Aguimes
59,oranjestad,AW,12.52,-70.03,Hotel Riu Palace Aruba
60,hualmay,PE,-11.1,-77.61,La Posada De Santa Maria
61,bredasdorp,ZA,-34.53,20.04,Victoria Hotel - Bredasdorp
62,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
63,bon air,US,37.52,-77.56,Four Points by Sheraton Richmond
64,koltubanovskiy,RU,52.94,52.03,"Resort ""Pivol'e"""
65,helong,CN,42.54,129.0,Helong Hotel
66,comodoro rivadavia,AR,-45.87,-67.5,Lucania Palazzo Hotel
67,bozoum,CF,6.32,16.38,
68,moose factory,CA,51.26,-80.61,Cree Village Eco Lodge
69,sungairaya,ID,0.7,108.9,
70,nemuro,JP,43.32,145.57,Hotel Nemuro Kaiyoutei
71,marystown,CA,47.17,-55.15,Marystown Hotel & Convention Centre
72,hilo,US,19.73,-155.09,Hilo Hawaiian Hotel
73,cidreira,BR,-30.18,-50.21,Hotel Castelo
74,atuona,PF,-9.8,-139.03,Pension Temetiu Village
75,kununurra,AU,-15.77,128.73,Hotel Kununurra
76,boende,CD,-0.22,20.87,
77,khatanga,RU,71.97,102.5,
78,constitucion,CL,-35.33,-72.42,Hotel Playa El Cable
79,hambantota,LK,6.12,81.12,
80,tambura,SS,5.6,27.47,
81,mount isa,AU,-20.73,139.5,Abacus Motel
82,isangel,VU,-19.55,169.27,Hidden Treasure Bungalows
83,salinas,US,36.68,-121.66,Holiday Inn Express & Suites Salinas
84,hasaki,JP,35.73,140.83,Inn Inubosaki hotel of superb view
85,byron bay,AU,-28.65,153.62,Beach Hotel
86,iwo,NG,7.63,4.18,Kofolad Hotel
87,arraial do cabo,BR,-22.97,-42.03,Hotel da Canoa
88,bathsheba,BB,13.22,-59.52,Atlantis Hotel
89,gazojak,TM,41.19,61.4,
90,ola,RU,59.58,151.28,
91,havoysund,NO,71.0,24.66,Claudine's Guesthouse
92,sharjah,AE,25.36,55.4,Four Points by Sheraton Sharjah
93,lakeside,US,30.13,-81.77,
94,kars,TR,40.6,43.09,Kars-ı Şirin Otel
95,mar del plata,AR,-38.0,-57.56,NH Gran Hotel Provincial
96,laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
97,san policarpo,PH,12.18,125.51,Bahay ni Singkit
98,iqaluit,CA,63.75,-68.51,Frobisher Inn
99,thunder bay,CA,48.4,-89.32,Hampton Inn & Suites by Hilton Thunder Bay
100,troitsko-pechorsk,RU,62.71,56.2,Pechora Gostinitsa
101,kruisfontein,ZA,-34.0,24.73,Humansdorp Boutique Hotel
102,belmonte,BR,-15.86,-38.88,Pousada Rio
103,quatre cocos,MU,-20.21,57.76,Shangri-La's Le Touessrok Resort & Spa
104,tiksi,RU,71.69,128.87,Arktika
105,vols,AT,47.25,11.33,Hotel Mondschein
106,puerto ayora,EC,-0.74,-90.35,Hotel Solymar Galapagos
107,biak,ID,-0.91,122.88,
108,cockburn town,TC,21.46,-71.14,Osprey Beach Hotel
109,guadalupe y calvo,MX,26.1,-106.97,"Hotel ""Cabañas Turcal"""
110,boda,CF,4.32,17.47,
111,namatanai,PG,-3.67,152.43,Namatanai Hotel
112,nishihara,JP,26.18,127.76,百名伽藍
113,ribeira grande,PT,38.52,-28.7,Azul Singular
114,itambacuri,BR,-18.03,-41.69,Pousada Vitoria
115,port elizabeth,ZA,-33.92,25.57,Millbury Guesthouse
